Unnamed: 0	Pheno	UKB ID	IDP short name	Units	Type	Cat.	Category name	IDP description	N(disc)	Npar(disc)	Nnonpar(disc)	N(rep)	Npar(rep)	Nnonpar(rep)	N(fullscan)	Npar(fullscan)	Nnonpar(fullscan)	Heritability	Heritability(SE)
30	31.0	25787	IDP T1 FAST ROIs R sup front gyrus	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Superior Frontal Gyrus	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1264	0.0166
31	32.0	25788	IDP T1 FAST ROIs L mid front gyrus	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Middle Frontal Gyrus	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1565	0.0177
32	33.0	25789	IDP T1 FAST ROIs R mid front gyrus	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Middle Frontal Gyrus	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1654	0.0166
33	34.0	25790	IDP T1 FAST ROIs L inf front gyrus parstri	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Inferior Frontal Gyrus, pars triangularis	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1023	0.0161
34	35.0	25791	IDP T1 FAST ROIs R inf front gyrus parstri	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Inferior Frontal Gyrus, pars triangularis	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.0477	0.0147
35	36.0	25792	IDP T1 FAST ROIs L inf front gyrus parsop	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Inferior Frontal Gyrus, pars opercularis	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.0845	0.0212
36	37.0	25793	IDP T1 FAST ROIs R inf front gyrus parsop	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Inferior Frontal Gyrus, pars opercularis	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.0728	0.0145
37	38.0	25794	IDP T1 FAST ROIs L precentral gyrus	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Precentral Gyrus	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1466	0.0177
38	39.0	25795	IDP T1 FAST ROIs R precentral gyrus	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Precentral Gyrus	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1609	0.0182
39	40.0	25796	IDP T1 FAST ROIs L temporal pole	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Temporal Pole	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1982	0.0197
40	41.0	25797	IDP T1 FAST ROIs R temporal pole	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Temporal Pole	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1964	0.0187
41	42.0	25798	IDP T1 FAST ROIs L sup temp gyrus ant	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Superior Temporal Gyrus, anterior division	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1362	0.0235
42	43.0	25799	IDP T1 FAST ROIs R sup temp gyrus ant	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Superior Temporal Gyrus, anterior division	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1208	0.0165
43	44.0	25800	IDP T1 FAST ROIs L sup temp gyrus post	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Superior Temporal Gyrus, posterior division	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1174	0.0152
44	45.0	25801	IDP T1 FAST ROIs R sup temp gyrus post	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Superior Temporal Gyrus, posterior division	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1666	0.0174
45	46.0	25802	IDP T1 FAST ROIs L mid temp gyrus ant	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Middle Temporal Gyrus, anterior division	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1204	0.0166
46	47.0	25803	IDP T1 FAST ROIs R mid temp gyrus ant	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Middle Temporal Gyrus, anterior division	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1477	0.0228
47	48.0	25804	IDP T1 FAST ROIs L mid temp gyrus post	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Middle Temporal Gyrus, posterior division	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.161	0.0188
48	49.0	25805	IDP T1 FAST ROIs R mid temp gyrus post	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Middle Temporal Gyrus, posterior division	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.156	0.0199
49	50.0	25806	IDP T1 FAST ROIs L mid temp gyrus tempocc	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Middle Temporal Gyrus, temporooccipital part	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.083	0.0166
50	51.0	25807	IDP T1 FAST ROIs R mid temp gyrus tempocc	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Middle Temporal Gyrus, temporooccipital part	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1091	0.0161
51	52.0	25808	IDP T1 FAST ROIs L inf temp gyrus ant	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Inferior Temporal Gyrus, anterior division	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.149	0.0172
52	53.0	25809	IDP T1 FAST ROIs R inf temp gyrus ant	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Inferior Temporal Gyrus, anterior division	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1501	0.0172
53	54.0	25810	IDP T1 FAST ROIs L inf temp gyrus post	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Inferior Temporal Gyrus, posterior division	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1376	0.0201
54	55.0	25811	IDP T1 FAST ROIs R inf temp gyrus post	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Inferior Temporal Gyrus, posterior division	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1619	0.0167
55	56.0	25812	IDP T1 FAST ROIs L inf temp gyrus tempocc	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Inferior Temporal Gyrus, temporooccipital part	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1598	0.0182
56	57.0	25813	IDP T1 FAST ROIs R inf temp gyrus tempocc	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Inferior Temporal Gyrus, temporooccipital part	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1581	0.0178
57	58.0	25814	IDP T1 FAST ROIs L postcent gyrus	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Postcentral Gyrus	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1314	0.0162
58	59.0	25815	IDP T1 FAST ROIs R postcent gyrus	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Postcentral Gyrus	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1332	0.0177
59	60.0	25816	IDP T1 FAST ROIs L sup parietal lobule	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Superior Parietal Lobule	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.0785	0.0142
60	61.0	25817	IDP T1 FAST ROIs R sup parietal lobule	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Superior Parietal Lobule	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.0574	0.0143
61	62.0	25818	IDP T1 FAST ROIs L supramarg gyrus ant	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Supramarginal Gyrus, anterior division	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.0882	0.017
62	63.0	25819	IDP T1 FAST ROIs R supramarg gyrus ant	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Supramarginal Gyrus, anterior division	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.0948	0.0166
63	64.0	25820	IDP T1 FAST ROIs L supramarg gyrus post	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Supramarginal Gyrus, posterior division	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.0943	0.015
64	65.0	25821	IDP T1 FAST ROIs R supramarg gyrus post	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Supramarginal Gyrus, posterior division	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.062	0.015
65	66.0	25822	IDP T1 FAST ROIs L angular gyrus	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Angular Gyrus	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1297	0.0175
66	67.0	25823	IDP T1 FAST ROIs R angular gyrus	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Angular Gyrus	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1065	0.0159
67	68.0	25824	IDP T1 FAST ROIs L latocc cortex sup	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Lateral Occipital Cortex, superior division	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1259	0.017
68	69.0	25825	IDP T1 FAST ROIs R latocc cortex sup	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Lateral Occipital Cortex, superior division	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1074	0.0161
69	70.0	25826	IDP T1 FAST ROIs L latocc cortex inf	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Lateral Occipital Cortex, inferior division	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1375	0.0183
70	71.0	25827	IDP T1 FAST ROIs R latocc cortex inf	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Lateral Occipital Cortex, inferior division	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1047	0.0185
71	72.0	25828	IDP T1 FAST ROIs L intracalc cortex	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Intracalcarine Cortex	22133.0	22112.0	22121.0	11086.0	11080	11083	33219.0	33192.0	33204.0	0.3064	0.0261
72	73.0	25829	IDP T1 FAST ROIs R intracalc cortex	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Intracalcarine Cortex	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.3171	0.0277
73	74.0	25830	IDP T1 FAST ROIs L front med cortex	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Frontal Medial Cortex	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1	0.0145
74	75.0	25831	IDP T1 FAST ROIs R front med cortex	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Frontal Medial Cortex	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.0823	0.0142
75	76.0	25832	IDP T1 FAST ROIs L juxtapos lobule cortex	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)	22133.0	22112.0	22121.0	11086.0	11080	11083	33219.0	33192.0	33204.0	0.076	0.0155
76	77.0	25833	IDP T1 FAST ROIs R juxtapos lobule cortex	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.0696	0.0152
77	78.0	25834	IDP T1 FAST ROIs L subcallosal cortex	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Subcallosal Cortex	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.2852	0.024
78	79.0	25835	IDP T1 FAST ROIs R subcallosal cortex	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Subcallosal Cortex	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.2761	0.0234
79	80.0	25836	IDP T1 FAST ROIs L paracing gyrus	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Paracingulate Gyrus	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.167	0.0175
80	81.0	25837	IDP T1 FAST ROIs R paracing gyrus	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Paracingulate Gyrus	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1476	0.0163
81	82.0	25838	IDP T1 FAST ROIs L cing gyrus ant	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Cingulate Gyrus, anterior division	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1514	0.0175
82	83.0	25839	IDP T1 FAST ROIs R cing gyrus ant	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Cingulate Gyrus, anterior division	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1418	0.0205
83	84.0	25840	IDP T1 FAST ROIs L cing gyrus post	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Cingulate Gyrus, posterior division	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1674	0.0173
84	85.0	25841	IDP T1 FAST ROIs R cing gyrus post	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Cingulate Gyrus, posterior division	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1439	0.0183
85	86.0	25842	IDP T1 FAST ROIs L precun cortex	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Precuneous Cortex	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.2023	0.0215
86	87.0	25843	IDP T1 FAST ROIs R precun cortex	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Precuneous Cortex	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.2049	0.0228
87	88.0	25844	IDP T1 FAST ROIs L cuneal cortex	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Cuneal Cortex	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1579	0.0157
88	89.0	25845	IDP T1 FAST ROIs R cuneal cortex	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Cuneal Cortex	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.151	0.0175
89	90.0	25846	IDP T1 FAST ROIs L front orb cortex	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Frontal Orbital Cortex	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.2008	0.0202
90	91.0	25847	IDP T1 FAST ROIs R front orb cortex	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Frontal Orbital Cortex	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1936	0.024
91	92.0	25848	IDP T1 FAST ROIs L parahipp gyrus ant	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Parahippocampal Gyrus, anterior division	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.187	0.0184
92	93.0	25849	IDP T1 FAST ROIs R parahipp gyrus ant	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Parahippocampal Gyrus, anterior division	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1975	0.0175
93	94.0	25850	IDP T1 FAST ROIs L parahipp gyrus post	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Parahippocampal Gyrus, posterior division	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.206	0.0206
94	95.0	25851	IDP T1 FAST ROIs R parahipp gyrus post	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Parahippocampal Gyrus, posterior division	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.2208	0.0195
95	96.0	25852	IDP T1 FAST ROIs L lingual gyrus	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Lingual Gyrus	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1608	0.0185
96	97.0	25853	IDP T1 FAST ROIs R lingual gyrus	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Lingual Gyrus	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.2055	0.0214
97	98.0	25854	IDP T1 FAST ROIs L temp fusif cortex ant	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Temporal Fusiform Cortex, anterior division	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1366	0.0165
98	99.0	25855	IDP T1 FAST ROIs R temp fusif cortex ant	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Temporal Fusiform Cortex, anterior division	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1677	0.0169
99	100.0	25856	IDP T1 FAST ROIs L temp fusif cortex post	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Temporal Fusiform Cortex, posterior division	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.2142	0.0208
100	101.0	25857	IDP T1 FAST ROIs R temp fusif cortex post	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Temporal Fusiform Cortex, posterior division	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.2144	0.0194
101	102.0	25858	IDP T1 FAST ROIs L temp occ fusif cortex	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Temporal Occipital Fusiform Cortex	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1535	0.0182
102	103.0	25859	IDP T1 FAST ROIs R temp occ fusif cortex	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Temporal Occipital Fusiform Cortex	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1841	0.0183
103	104.0	25860	IDP T1 FAST ROIs L occ fusif gyrus	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Occipital Fusiform Gyrus	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1352	0.0178
104	105.0	25861	IDP T1 FAST ROIs R occ fusif gyrus	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Occipital Fusiform Gyrus	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1174	0.0169
105	106.0	25862	IDP T1 FAST ROIs L front operc cortex	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Frontal Operculum Cortex	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1391	0.0167
106	107.0	25863	IDP T1 FAST ROIs R front operc cortex	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Frontal Operculum Cortex	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1091	0.0157
107	108.0	25864	IDP T1 FAST ROIs L cent operc cortex	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Central Opercular Cortex	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1478	0.016
108	109.0	25865	IDP T1 FAST ROIs R cent operc cortex	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Right Central Opercular Cortex	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1795	0.0192
109	110.0	25866	IDP T1 FAST ROIs L parietal operc cortex	mm3	float	1.0	regional and tissue volume	Volume of grey matter in Left Parietal Operculum Cortex	22133.0	22112.0	22121.0	11086.0	-	-	33219.0	33192.0	33204.0	0.1364	0.0156
